Priority Mail - Retail,,Final,12/9/2020
,
Flat Rate Envelopes,7.95,,,,,,
Legal Flat Rate Envelope,8.25,,,,,,
Padded Flat Rate Envelope,8.55,,,,,,,
Small Flat Rate Box,8.45,,,,,,,
Medium Flat Rate Boxes,15.50,,,,,,
Large Flat Rate Boxes,21.90,,,,,,
APO/FPO/DPO Large Flat Rate Box,20.40,,,,,,
,,,,,,,
"Letters, Large Envelopes, Parcels",,,,,,,
Weight Not Over (Lbs),Zones,,,,,,,
,"L, 1 & 2",Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8,Zone 9,,,,,,,,
1,7.70,8.10,8.25,8.50,8.80,9.10,9.90,16.85,,,,,,,,
2,8.55,8.85,10.10,11.10,11.95,13.90,15.20,26.75,,,,,,,,
3,9.05,9.90,11.10,12.80,13.50,17.20,20.40,35.80,,,,,,,,
4,9.55,10.75,11.75,14.20,17.60,21.20,23.60,41.45,,,,,,,,
5,10.60,11.50,12.50,14.65,20.00,24.30,27.20,47.95,,,,,,,,
6,11.40,12.00,13.30,16.30,22.90,27.15,30.65,54.15,,,,,,,,
7,12.40,13.60,16.00,19.70,25.40,30.35,34.45,60.85,,,,,,,,
8,12.80,15.05,17.75,23.45,28.80,33.75,38.55,68.10,,,,,,,,
9,13.30,16.25,19.70,26.75,31.30,36.40,42.90,75.80,,,,,,,,
10,14.15,17.45,21.20,29.00,33.90,40.00,46.75,82.60,,,,,,,,
11,15.55,19.20,23.40,31.10,38.10,46.30,53.75,91.40,,,,,,,,
12,16.90,20.60,25.15,34.50,41.45,50.10,57.15,98.10,,,,,,,,
13,17.90,21.75,26.55,36.45,44.50,52.10,59.80,101.60,,,,,,,,
14,19.00,23.20,28.25,38.80,46.95,55.00,62.90,106.70,,,,,,,,
15,19.70,24.50,29.85,41.05,49.00,56.30,64.50,109.75,,,,,,,,
16,20.35,25.85,31.50,43.35,51.70,59.35,68.10,115.75,,,,,,,,
17,21.30,27.20,33.15,45.55,54.35,62.50,71.65,121.90,,,,,,,,
18,21.65,28.15,34.50,47.80,57.20,65.55,75.35,128.10,,,,,,,,
19,22.30,28.85,35.25,49.15,58.30,67.00,76.90,134.15,,,,,,,,
20,23.20,29.20,35.85,49.80,59.75,69.35,80.50,140.35,,,,,,,,
21,24.00,29.55,36.35,50.70,60.75,70.50,82.35,144.70,,,,,,,,
22,24.55,30.25,37.25,51.90,62.10,72.20,84.30,148.30,,,,,,,,
23,25.15,30.85,37.85,52.75,63.25,73.65,85.80,150.85,,,,,,,,
24,25.70,31.50,38.75,53.90,64.55,75.50,87.90,154.60,,,,,,,,
25,26.00,32.00,40.30,56.35,65.35,77.35,89.35,157.15,,,,,,,,
26,27.00,32.60,41.80,57.50,67.00,79.25,92.20,162.15,,,,,,,,
27,27.85,33.10,43.05,58.65,68.00,81.15,95.65,168.20,,,,,,,,
28,28.70,33.50,44.35,60.10,68.80,83.00,99.25,174.55,,,,,,,,
29,29.55,33.90,45.45,61.00,70.00,84.85,101.95,179.25,,,,,,,,
30,30.45,34.35,46.55,61.80,71.95,86.85,104.15,183.20,,,,,,,,
31,31.35,34.70,47.35,62.65,73.05,88.70,106.20,188.35,,,,,,,,
32,31.70,35.50,48.10,63.35,73.95,90.60,108.40,192.20,,,,,,,,
33,32.25,36.40,49.30,64.15,75.40,92.45,110.40,195.85,,,,,,,,
34,32.50,37.40,50.55,65.55,77.15,94.40,112.50,199.45,,,,,,,,
35,32.85,38.30,51.15,66.95,79.20,96.25,114.35,202.80,,,,,,,,
36,33.20,39.40,51.90,68.35,81.30,97.55,116.40,206.30,,,,,,,,
37,33.50,40.05,52.65,69.60,83.40,98.80,118.25,209.70,,,,,,,,
38,33.90,41.10,53.30,70.95,85.70,100.00,120.15,213.10,,,,,,,,
39,34.25,42.05,54.00,72.45,87.75,102.60,121.95,216.30,,,,,,,,
40,34.65,42.90,54.70,74.05,89.15,104.90,123.70,219.30,,,,,,,,
41,34.95,43.75,55.35,74.70,90.60,107.15,125.50,224.20,,,,,,,,
42,35.20,44.50,55.90,76.30,92.20,108.50,127.15,227.35,,,,,,,,
43,35.70,45.25,56.40,78.05,94.45,109.95,128.75,230.15,,,,,,,,
44,35.90,46.00,57.15,79.60,95.95,111.20,130.30,232.95,,,,,,,,
45,36.15,46.50,57.50,81.45,97.00,112.45,131.95,235.85,,,,,,,,
46,36.40,46.80,58.15,82.90,98.05,113.65,133.50,238.70,,,,,,,,
47,36.75,47.25,58.70,84.80,99.15,114.90,135.00,241.25,,,,,,,,
48,37.10,47.65,59.25,86.45,100.45,116.00,136.45,243.90,,,,,,,,
49,37.30,47.95,59.70,88.05,101.75,117.25,137.85,246.35,,,,,,,,
50,37.45,48.25,60.15,89.75,103.10,118.75,139.20,248.90,,,,,,,,
51,37.60,48.75,60.70,91.30,104.55,120.50,140.50,253.15,,,,,,,,
52,38.10,49.05,61.10,92.00,105.65,122.25,142.15,256.30,,,,,,,,
53,38.75,49.35,61.45,92.75,106.55,124.20,144.05,259.60,,,,,,,,
54,39.20,49.55,61.90,93.50,107.30,126.10,146.05,263.20,,,,,,,,
55,39.90,49.90,62.25,94.20,108.10,128.05,148.00,266.70,,,,,,,,
56,40.45,50.25,62.60,94.80,108.90,129.85,149.40,269.20,,,,,,,,
57,41.05,50.40,62.95,95.35,109.65,131.85,150.50,271.15,,,,,,,,
58,41.70,50.65,63.40,96.00,110.30,133.65,151.65,273.15,,,,,,,,
59,42.35,50.85,63.70,96.60,110.95,134.45,152.85,275.35,,,,,,,,
60,42.90,51.05,64.30,97.05,111.50,135.20,153.80,277.15,,,,,,,,
61,43.55,51.35,65.45,97.55,112.15,136.00,155.90,281.00,,,,,,,,
62,44.00,51.45,66.25,98.10,112.70,136.65,158.45,285.40,,,,,,,,
63,44.85,51.70,67.40,98.50,113.30,137.25,160.95,290.05,,,,,,,,
64,45.30,53.30,68.35,98.95,113.75,137.95,163.35,294.40,,,,,,,,
65,45.90,53.45,69.25,99.35,114.20,138.55,166.00,299.10,,,,,,,,
66,46.50,53.65,70.40,99.80,114.70,139.05,168.30,303.35,,,,,,,,
67,47.25,53.75,71.60,100.10,115.00,139.60,170.55,307.30,,,,,,,,
68,47.80,53.85,72.45,100.35,116.50,140.15,172.40,310.65,,,,,,,,
69,48.40,53.90,73.35,100.65,117.90,140.50,174.25,313.90,,,,,,,,
70,49.00,54.10,74.55,101.00,119.40,141.00,176.15,317.25,,,,,,,,
"Parcels exceeding one cubic foot are charged on the actual weight or the dimensional weight, whichever is greater. ",,,,,,,,
